PV_MW,Bat_MWh,CAPEX,OPEX,Total_Cost,RE_Coverage,PV_Share,E_imp,E_exp,E_pv,E_demand,Scenario,tau
32.0,0.0,1625430.8101191835,1264339.1210807562,2889769.93119994,38.20905611623125,42.522385387960995,19100.433378633308,0.0,14130.648856697695,30911.379852947368,S1 τ=40,40
34.0,0.0,1727020.2357516324,1231053.5041318408,2958073.739883473,39.831284774223214,44.03137404804781,18598.98011607804,0.0,14632.102119252962,30911.379852947368,S1 τ=40,40
36.0,0.0,1828609.6613840815,1199750.1955329261,3028359.856917008,41.35013368552693,45.444199405466605,18129.482959712594,0.0,15101.599275618413,30911.379852947368,S1 τ=40,40
38.0,0.0,1930199.0870165303,1169843.9216363572,3100043.0086528873,42.79949527760633,46.79238801996216,17681.465292542205,0.0,15549.6169427888,30911.379852947368,S1 τ=40,40
40.0,0.0,2031788.5126489794,1141619.1343321016,3173407.646981081,44.17073228092587,48.06790554833692,17257.59701376193,0.0,15973.485221569075,30911.379852947368,S1 τ=40,40
42.0,0.0,2133377.9382814285,1115104.9965376027,3248482.9348190315,45.45959922482176,49.266802875861046,16859.190456935197,0.0,16371.891778395806,30911.379852947368,S1 τ=40,40
44.0,0.0,2234967.3639138774,1090527.4940918884,3325494.858005766,46.65476748714342,50.37854217713282,16489.74745548708,0.0,16741.334779843924,30911.379852947368,S1 τ=40,40
46.0,0.0,2336556.7895463263,1067358.2039681196,3403914.9935144456,47.78556909330373,51.43040794962883,16140.201075623634,0.0,17090.881159707373,30911.379852947368,S1 τ=40,40
48.0,0.0,2438146.215178775,1045700.4091128687,3483846.624291644,48.846650710687534,52.417420551194304,15812.206106324329,0.0,17418.876129006676,30911.379852947368,S1 τ=40,40
50.0,0.0,2539735.640811224,1025484.0734828053,3565219.7142940294,49.83748879820077,53.339092986626646,15505.924381365432,0.0,17725.157853965575,30911.379852947368,S1 τ=40,40
52.0,0.0,2641325.0664436733,1006525.0893733619,3647850.155817035,50.76464004043484,54.20152424982994,15219.32913906714,0.0,18011.753096263863,30911.379852947368,S1 τ=40,40
54.0,0.0,2742914.492076122,988939.2348038229,3731853.726879945,51.623290244594955,55.00023620370621,14953.908512851098,0.0,18277.173722479907,30911.379852947368,S1 τ=40,40
56.0,0.0,2844503.917708571,972410.2318809005,3816914.1495894715,52.4319762548457,55.752471724283026,14703.932508404847,0.0,18527.14972692616,30911.379852947368,S1 τ=40,40
58.0,0.0,2946093.34334102,956637.2241649427,3902730.5675059627,53.20325878041915,56.46991471795698,14465.51843718543,0.0,18765.563798145573,30911.379852947368,S1 τ=40,40
60.0,0.0,3047682.7689734693,941737.3728695221,3989420.141842991,53.931326117414834,57.14715916798785,14240.462777061457,0.0,18990.619458269546,30911.379852947368,S1 τ=40,40
62.0,0.0,3149272.194605918,927563.6611435205,4076835.8557494385,54.62371250476375,57.79121338424199,14026.436590817932,0.0,19204.645644513075,30911.379852947368,S1 τ=40,40
64.0,0.0,3250861.620238367,913884.7062748506,4164746.3265132178,55.291271298362,58.41217310192316,13820.084956387023,0.0,19410.997278943985,30911.379852947368,S1 τ=40,40
66.0,0.0,3352451.045870816,900894.3453993652,4253345.391270181,55.923339738384826,59.00011987730179,13624.703879960973,0.0,19606.378355370034,30911.379852947368,S1 τ=40,40
68.0,0.0,3454040.4715032647,888562.2480481069,4342602.719551371,56.523506053822594,59.55839146232156,13439.184190446567,0.0,19791.898044884438,30911.379852947368,S1 τ=40,40
70.0,0.0,3555629.897135714,876796.4423015014,4432426.339437216,57.09964644957499,60.09431426181424,13261.091244229268,0.0,19969.99099110174,30911.379852947368,S1 τ=40,40
72.0,0.0,3657219.322768163,865787.1046061815,4523006.427374344,57.64311922295629,60.59984980888898,13093.096310852026,0.0,20137.985924478977,30911.379852947368,S1 τ=40,40
74.0,0.0,3758808.748400612,855282.0217565123,4614090.770157124,58.163053310672986,61.08348979298853,12932.37751001296,0.0,20298.704725318043,30911.379852947368,S1 τ=40,40
76.0,0.0,3860398.1740330607,845109.7113103281,4705507.885343389,58.66596970860659,61.55130001056472,12776.919111904943,0.0,20454.163123426064,30911.379852947368,S1 τ=40,40
78.0,0.0,3961987.59966551,835452.3703601909,4797439.9700257005,59.14638896401745,61.998183503178915,12628.414890978194,0.0,20602.66734435281,30911.379852947368,S1 τ=40,40
80.0,0.0,4063577.025297959,826235.5597087414,4889812.5850067,59.60748181084554,62.427089671050496,12485.884729620391,0.0,20745.197505710617,30911.379852947368,S1 τ=40,40
82.0,0.0,4165166.4509304077,817404.2374102088,4982570.688340616,60.04834646202257,62.83717967653881,12349.60738265769,0.0,20881.474852673316,30911.379852947368,S1 τ=40,40
84.0,0.0,4266755.876562857,808859.0640901502,5075614.9406530075,60.4739628182154,63.23308579734268,12218.04349407865,0.0,21013.038741252356,30911.379852947368,S1 τ=40,40
86.0,0.0,4368345.302195306,800659.8926873184,5169005.194882624,60.882078439686325,63.61271282573349,12091.889324086556,0.0,21139.19291124445,30911.379852947368,S1 τ=40,40
88.0,0.0,4469934.727827755,792771.6456641974,5262706.373491952,61.275486463515406,63.9786589232954,11970.281475468773,0.0,21260.80075986223,30911.379852947368,S1 τ=40,40
