PV_MW,Bat_MWh,CAPEX,OPEX,Total_Cost,RE_Coverage,PV_Share,E_imp,E_exp,E_pv,E_demand,Scenario,tau
50.0,0.0,2539735.640811224,1335602.5611101286,3875338.2019213527,49.83748879820077,53.339092986626646,15505.924381365432,0.0,17725.157853965575,30911.379852947368,S1 τ=60,60
52.0,0.0,2641325.0664436733,1310911.6721547244,3952236.738598398,50.76464004043484,54.20152424982994,15219.32913906714,0.0,18011.753096263863,30911.379852947368,S1 τ=60,60
54.0,0.0,2742914.492076122,1288017.4050608592,4030931.8971369816,51.623290244594955,55.00023620370621,14953.908512851098,0.0,18277.173722479907,30911.379852947368,S1 τ=60,60
56.0,0.0,2844503.917708571,1266488.882049007,4110992.7997575784,52.4319762548457,55.752471724283026,14703.932508404847,0.0,18527.14972692616,30911.379852947368,S1 τ=60,60
58.0,0.0,2946093.34334102,1245947.5929086632,4192040.936249683,53.20325878041915,56.46991471795698,14465.51843718543,0.0,18765.563798145573,30911.379852947368,S1 τ=60,60
60.0,0.0,3047682.7689734693,1226546.6284107664,4274229.397384236,53.931326117414834,57.14715916798785,14240.462777061457,0.0,18990.619458269546,30911.379852947368,S1 τ=60,60
62.0,0.0,3149272.194605918,1208092.3929598867,4357364.587565805,54.62371250476375,57.79121338424199,14026.436590817932,0.0,19204.645644513075,30911.379852947368,S1 τ=60,60
64.0,0.0,3250861.620238367,1190286.4054026075,4441148.025640975,55.291271298362,58.41217310192316,13820.084956387023,0.0,19410.997278943985,30911.379852947368,S1 τ=60,60
66.0,0.0,3352451.045870816,1173388.4229985916,4525839.468869408,55.923339738384826,59.00011987730179,13624.703879960973,0.0,19606.378355370034,30911.379852947368,S1 τ=60,60
68.0,0.0,3454040.4715032647,1157345.931857048,4611386.403360313,56.523506053822594,59.55839146232156,13439.184190446567,0.0,19791.898044884438,30911.379852947368,S1 τ=60,60
70.0,0.0,3555629.897135714,1142018.2671860878,4697648.164321802,57.09964644957499,60.09431426181424,13261.091244229268,0.0,19969.99099110174,30911.379852947368,S1 τ=60,60
72.0,0.0,3657219.322768163,1127649.0308232405,4784868.353591403,57.64311922295629,60.59984980888898,13093.096310852026,0.0,20137.985924478977,30911.379852947368,S1 τ=60,60
