Taille PV (MW),Nombre de navires,Bilan Net (k€)
6,64,3542.924816559976
7,64,3487.7900671399766
8,64,3428.584324479976
9,64,3368.7719603799765
10,64,3304.474540099976
1,65,3870.788124021454
2,65,3798.554399381454
3,65,3728.319932231454
4,65,3665.255158541455
5,65,3606.4073957414544
6,65,3544.618416341454
7,65,3489.579323181454
8,65,3430.3988085114543
9,65,3370.6338567214543
10,65,3306.336436441454
1,66,3872.600026935747
2,66,3800.366302295747
3,66,3730.131835145747
4,66,3667.0670614457476
5,66,3608.2192986457476
6,66,3546.4303192557472
7,66,3491.3912260957472
8,66,3432.1936954657467
9,66,3372.4202600257468
10,66,3308.1237201057475
1,67,3874.2463694300636
2,67,3802.0126447900634
3,67,3731.7781776500638
4,67,3668.7134039500643
5,67,3609.8656411500638
6,67,3548.0766617500644
7,67,3493.0375686000643
8,67,3433.8400379600635
9,67,3374.0666025300634
10,67,3309.7700626000637
1,68,3874.8360715843996
2,68,3802.6023469444003
3,68,3732.3678797944003
4,68,3669.3031061044
5,68,3610.4553433044
6,68,3548.6663639044004
7,68,3493.6272707544003
8,68,3434.4297401144
9,68,3374.6563046743995
10,68,3310.3597647544
1,69,3874.9008143037317
2,69,3802.667089663732
3,69,3732.4331550437314
4,69,3669.368144883732
5,69,3610.521442903732
6,69,3548.7332484337317
7,69,3493.6982762537323
8,69,3434.5026715137315
9,69,3374.7292360737315
10,69,3310.432696153732
